Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;MYLAN SpA;038834228;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;ANGENERICO SpA;038842011;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;PENSA PHARMA SpA;038869018;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;PENSA PHARMA SpA;038869020;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;RANBAXY ITALIA SpA;039015021;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;FIDIA FARMACEUTICI SpA;039114018;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;TECNIGEN Srl;039275021;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;TAKEDA ITALIA SpA;039536471;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;BLUEFISH PHARMACEUTICALS AB;040100024;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;4,31;TEVA ITALIA Srl;040597027;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTECTA*14 cpr gastrores 20 mg;5,74;TAKEDA ITALIA SpA;031834029;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTOPAN*14 cpr gastrores 20 mg;5,74;ALMIRALL SpA;031835022;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTORC*14 cpr gastrores 20 mg;5,74;TAKEDA ITALIA SpA;031981044;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTORC*14 cpr gastrores 20 mg;5,74;PROGRAMMI SANIT.INTEGRATI Srl;039828025;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PEPTAZOL*14 cpr gastrores 20 mg;5,74;RECORDATI SpA;031111026;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 20MG 14 UNITA' USO ORALE;PANTORC*14 cpr gastrores 20 mg;5,75;BB FARMA Srl;041972011;CTA;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;APPRYO*14 cpr gastrores 40 mg;7,79;KRKA FARMACEUTICI MILANO Srl;039127168;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;GASTROLOC*14 cpr gastrores 40 mg;7,79;NOVARTIS CONSUMER HEALTH SpA;038253264;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;NOLPAZA*14 cpr gastrores 40 mg;7,79;FARMAC.CABER SpA;039115163;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANCLEUS*14 cpr gastrores 40 mg;7,79;S.F.GROUP Srl;038741031;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 20 mg;7,79;DOC GENERICI Srl;038437190;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;SANDOZ SpA;038139263;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;TEVA ITALIA Srl;038436150;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;EG SpA;038440145;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;LABORATORI ALTER Srl;038729051;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;ALMUS Srl;038730040;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;ACTAVIS ITALY SpA;038740155;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;GERMED PHARMA SpA;038743252;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;MYLAN SpA;038834329;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;ANGENERICO SpA;038842035;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;PENSA PHARMA SpA;038869032;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;PENSA PHARMA SpA;038869044;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;ZENTIVA ITALIA Srl;038881013;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;RANBAXY ITALIA SpA;039015134;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;FIDIA FARMACEUTICI SpA;039114057;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;TECNIGEN Srl;039275146;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;TAKEDA ITALIA SpA;039536255;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;BLUEFISH PHARMACEUTICALS AB;040100075;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg;7,79;TEVA ITALIA Srl;040597104;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPRAZOLO*14 cpr gastrores 40 mg flacone;7,79;MYLAN SpA;038834127;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTECTA*14 cpr gastrores 40 mg;9,57;TAKEDA ITALIA SpA;031834296;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTOPAN*14 cpr gastrores 40 mg;9,57;ALMIRALL SpA;031835287;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTORC*14 cpr gastrores 40 mg;9,57;TAKEDA ITALIA SpA;031981311;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTORC*14 cpr gastrores 40 mg;9,57;PROGRAMMI SANIT.INTEGRATI Srl;039828013;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PANTORC*14 cpr gastrores 40 mg;9,57;BB FARMA Srl;041972023;CTB;X;;
Pantoprazolo;PANTOPRAZOLO 40MG 14 UNITA' USO ORALE;PEPTAZOL*14 cpr gastrores 40 mg;9,57;RECORDATI SpA;031111293;CTB;X;;
Paracalcitolo;PARACALCITOLO 1MCG 28 UNITA' USO ORALE;ZEMPLAR*28 cps 1 mcg;153,33;ABBVIE Srl;036374054;Q1A;;;
Paracalcitolo;PARACALCITOLO 2MCG 28 UNITA' USO ORALE;ZEMPLAR*28 cps 2 mcg;306,66;ABBVIE Srl;036374080;Q1B;;;
Paracalcitolo;PARACALCITOLO 5MCG 5 UNITA' USO PARENTERALE;ZEMPLAR*5 flaconcini 1 ml 5 mcg/ml;150,44;ABBVIE Srl;036374015;Q1C;;;
Paracetamolo/codeina;PARACETAMOLO+CODEINA 500+30MG 16 UNITA' USO ORALE;CODAMOL*16 cpr riv 500 mg + 30 mg;3,16;ABIOGEN PHARMA SpA;037021021;Q2A;X;;
Paracetamolo/codeina;PARACETAMOLO+CODEINA 500+30MG 16 UNITA' USO ORALE;PARACETAMOLO E CODEINA*16 cpr eff 500 mg + 30 mg;3,16;LABORATORI ALTER Srl;037351018;Q2A;X;;
Paracetamolo/codeina;PARACETAMOLO+CODEINA 500+30MG 16 UNITA' USO ORALE;COEFFERALGAN*16 cpr riv 500 mg + 30 mg;3,96;BRISTOL-MYERS SQUIBB Srl;027989033;Q2A;X;;
Paracetamolo/codeina;PARACETAMOLO+CODEINA 500+30MG 16 UNITA' USO ORALE;TACHIDOL*16 cpr riv div 500 mg + 30 mg;3,96;ANGELINI SpA;031825060;Q2A;X;;
Parnaparina;PARNAPARINA 3.200UI AXA 0,3ML 6 UNITA' USO PARENTERALE;FLUXUM*6 siringhe SC 3.200 UI aXa 0,3 ml;18,56;ALFA WASSERMANN SpA;026270076;Q3A;;;
Parnaparina;PARNAPARINA 4.250UI AXA 0,4ML 6 UNITA' USO PARENTERALE;FLUXUM*6 siringhe SC 4.250 UI aXa 0,4 ml;24,76;ALFA WASSERMANN SpA;026270088;Q3B;;;
Parnaparina;PARNAPARINA 6.400UI AXA 0,6ML 6 UNITA' USO PARENTERALE;FLUXUM*6 siringhe SC 6.400 UI aXa 0,6 ml;32,94;ALFA WASSERMANN SpA;026270090;Q3C;;;
Parnaparina;PARNAPARINA 8.500UI AXA 0,8ML 6 UNITA' USO PARENTERALE;FLUXUM*6 siringhe SC 8.500 UI aXa 0,8 ml;43,74;ALFA WASSERMANN SpA;026270126;Q3D;;;
Paromomicina;PAROMOMICINA 250MG 16 UNITA' USO ORALE;HUMATIN*16 cps 250 mg;10,44;BB FARMA Srl;039333012;D4A;;Toscana;
Paromomicina;PAROMOMICINA 250MG 16 UNITA' USO ORALE;HUMATIN*16 cps 250 mg;10,45;PFIZER ITALIA Srl;016531016;D4A;;Toscana;
Paromomicina;PAROMOMICINA 250MG 16 UNITA' USO ORALE;KAMAN*16 cps 250 mg;10,45;I.B.N.SAVIO Srl;020177010;D4A;;Toscana;
Paroxetina;PAROXETINA 20MG 12 UNITA' USO ORALE;PAROXETINA*12 cpr riv 20 mg;7,97;EG SpA;035700107;AXA;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;DAPAROX*28 cpr riv 20 mg;8,96;ANGELINI SpA;035444037;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr 20 mg;8,96;GERMED PHARMA SpA;037493133;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;MYLAN SpA;035449053;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;EG SpA;035700119;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;RATIOPHARM ITALIA Srl;035818222;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;HEXAL SpA;036614067;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;DOC GENERICI Srl;036874055;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;ACTAVIS ITALY SpA;038822058;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;PENSA PHARMA SpA;038930044;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;RANBAXY ITALIA SpA;038931046;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;ALMUS Srl;038932048;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;AUROBINDO PHARMA ITALIA Srl;040172025;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;PAROXETINA*28 cpr riv 20 mg;8,96;PFIZER ITALIA Srl;041366055;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;EUTIMIL*28 cpr riv 20 mg;11,36;GLAXOSMITHKLINE SpA;027964030;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;SEREUPIN*28 cpr riv 20 mg;12,50;ABBOTT Srl;027965033;AXB;X;;
Paroxetina;PAROXETINA 20MG 28 UNITA' USO ORALE;SEROXAT*28 cpr riv 20 mg;28,57;GLAXOSMITHKLINE SpA;027963038;AXB;X;;
Paroxetina;PAROXETINA 2MG/ML 150 ML USO ORALE;EUTIMIL*os sosp 150 ml 2 mg/ml;15,22;GLAXOSMITHKLINE SpA;027964028;AXC;;;
Paroxetina;PAROXETINA 2MG/ML 150 ML USO ORALE;SEREUPIN*os sosp 150 ml 2 mg/ml;15,22;ABBOTT Srl;027965021;AXC;;;
Paroxetina;PAROXETINA 2MG/ML 150 ML USO ORALE;SEROXAT*os sosp 150 ml 2 mg/ml;15,22;GLAXOSMITHKLINE SpA;027963026;AXC;;;
Paroxetina;PAROXETINA 10MG/ML 60 ML USO ORALE;STILIDEN*os gtt 60 ml 10 mg/ml;23,24;LIFEPHARMA SpA;036451058;AXD;;;
Paroxetina;PAROXETINA 10MG/ML 60 ML USO ORALE;DROPAXIN*os gtt 60 ml 10 mg/ml;24,46;ITALFARMACO SpA;036063055;AXD;;;
Paroxetina;PAROXETINA 10MG/ML 60 ML USO ORALE;SERESTILL*os gtt 60 ml 10 mg/ml;24,46;CHEMI SpA;036197022;AXD;;;
Paroxetina;PAROXETINA 33,1MG/ML 18,5ML USO ORALE;DAPAGUT*os gtt 18,5 ml 33,1 mg/ml;20,47;ANGELINI SpA;037870019;AXE;;;
Paroxetina;PAROXETINA 33,1MG/ML 18,5ML USO ORALE;DAPAROX*os gtt 18,5 ml 33,1 mg/ml;20,47;ANGELINI SpA;035444191;AXE;;;
Pefloxacina;PEFLOXACINA 400MG 2 UNITA' USO ORALE;PEFLACIN*2 cpr riv 400 mg;10,86;SANOFI-AVENTIS SpA;025934035;Q4A;;;
Pefloxacina;PEFLOXACINA 400MG 2 UNITA' USO ORALE;PEFLOX*2 cpr riv 400 mg;10,86;GRUNENTHAL ITALIA Srl;025939036;Q4A;;;
Pegfilgrastim;PEGFILGRASTIM 6MG 1 UNITA' USO PARENTERALE;NEULASTA*1 siringa SC 6 mg 0,6 ml con protezione ago;1489,50;AMGEN SpA;035716036;Q5A;;;
Peginterferone alfa 2A;INTERFERONE ALFA 2A PEGILATO 135MCG 1 UNITA' USO PARENTERALE;PEGASYS*1 penna SC 135 mcg 0,5 ml;238,32;ROCHE SpA;035683097;NDA;;;
Peginterferone alfa 2A;INTERFERONE ALFA 2A PEGILATO 135MCG 1 UNITA' USO PARENTERALE;PEGASYS*1 siringa SC 135 mcg 0,5 ml + ago;238,32;ROCHE SpA;035683059;NDA;;;
Peginterferone alfa 2A;INTERFERONE ALFA 2A PEGILATO 180MCG 1 UNITA' USO PARENTERALE;PEGASYS*1 penna SC 180 mcg 0,5 ml;305,34;ROCHE SpA;035683123;NDB;;;
Peginterferone alfa 2A;INTERFERONE ALFA 2A PEGILATO 180MCG 1 UNITA' USO PARENTERALE;PEGASYS*1 siringa SC 180 mcg 0,5 ml + ago;305,34;ROCHE SpA;035683073;NDB;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 100MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 fiala SC 100 mcg + 1 fiala solv;252,90;MSD ITALIA Srl;034852119;NFA;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 100MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 penna CLEARCLICK SC 100 mcg 0,5 ml + 1 ago + 2 tamponi detergenti;252,90;MSD ITALIA Srl;034852398;NFA;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 120MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 fiala SC 120 mcg + 1 ago;303,49;MSD ITALIA Srl;034852436;NFB;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 120MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 fiala SC 120 mcg + 1 fiala solv;303,49;MSD ITALIA Srl;034852160;NFB;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 150MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 fiala SC 150 mcg + 1 fiala solv;379,04;MSD ITALIA Srl;034852210;NFC;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 150MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 penna SC 150 mcg + 1 ago + 2 tamponi;379,04;MSD ITALIA Srl;034852475;NFC;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 50MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 fiala SC 50 mcg + 1 ago;126,55;MSD ITALIA Srl;034852311;NFD;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 50MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 fiala SC 50 mcg + 1 fiala solv;126,55;MSD ITALIA Srl;034852018;NFD;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 80MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 fiala SC 80 mcg + 1 ago;202,31;MSD ITALIA Srl;034852350;NFE;;;
Peginterferone alfa 2B;INTERFERONE ALFA 2B PEGILATO 80MCG 1 UNITA' USO PARENTERALE;PEGINTRON*1 fiala SC 80 mcg + 1 fiala solv;202,31;MSD ITALIA Srl;034852069;NFE;;;
Pegvisomant;PEGVISOMANT 20MG 1 UNITA' USO PARENTERALE;SOMAVERT*1 flacone SC 20 mg + 1 flacone 8 ml;223,42;PFIZER ITALIA Srl;035726049;BQK;;;
Pegvisomant;PEGVISOMANT 20MG 30 UNITA' USO PARENTERALE;SOMAVERT*30 flaconi SC 20 mg + 30 flaconi 8 ml;6702,69;PFIZER ITALIA Srl;035726037;BQL;;;
Pegvisomant;PEGVISOMANT 10MG 30 UNITA' USO PARENTERALE;SOMAVERT*30 flaconi SC 10 mg + 30 flaconi 8 ml;3351,34;PFIZER ITALIA Srl;035726013;BQM;;;
Pegvisomant;PEGVISOMANT 15MG 30 UNITA' USO PARENTERALE;SOMAVERT*30 flaconi SC 15 mg + 30 flaconi 8 ml;5027,02;PFIZER ITALIA Srl;035726025;BQN;;;
Pentaeritritile tetranitrato;PENTAERITRITILE TETRANITRATO 80MG 50 UNITA' USO ORALE;PERITRATE SINCRONIZZATO*50 cpr 80 mg;4,99;TEOFARMA Srl;010000038;Q6A;;;
Pentamidina;PENTAMIDINA 300MG 1 UNITA' USO PARENTERALE O RESPIRATORIO;PENTACARINAT*1 fiala IM EV aerosol 300 mg;22,54;SANOFI-AVENTIS SpA;027625019;Q7A;;;
Pentazocina;PENTAZOCINA 30MG 5 UNITA' USO PARENTERALE;TALWIN*5 fiale IM EV 30 mg 1 ml;3,98;HOSPIRA SpA;021410030;Q8A;;;
Periciazina;PERICIAZINA 10MG 30 UNITA' USO ORALE;NEULEPTIL*30 cpr 10 mg;2,84;TEOFARMA Srl;020739025;QAA;;;
Periciazina;PERICIAZINA 2% 10ML USO ORALE;NEULEPTIL*os gtt 10 ml 2%;1,76;TEOFARMA Srl;020739037;QAB;;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;DOC GENERICI Srl;037770068;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;RATIOPHARM ITALIA Srl;037805064;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;SANDOZ SpA;038472078;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;RANBAXY ITALIA SpA;038523078;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;TEVA ITALIA Srl;038538017;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;SANDOZ SpA;038764078;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;EG SpA;039202104;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;MYLAN SpA;039483122;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;PFIZER ITALIA Srl;040263028;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 4 mg;7,14;PENSA PHARMA SpA;040971018;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr riv 5 mg flacone;7,14;TEVA ITALIA Srl;041788062;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PRENESSA*30 cpr 4 mg;7,14;KRKA FARMACEUTICI MILANO Srl;039788132;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;COVERSYL*30 cpr riv 5 mg;20,69;SERVIER ITALIA SpA;027286210;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;COVERSYL*30 cpr riv 5 mg flacone;20,69;FARMA 1000 Srl;041990019;EHA;X;;
Perindopril;PERINDOPRIL 4MG 30 UNITA' USO ORALE;PROCAPTAN*30 cpr riv 5 mg;20,69;STRODER Srl;027469206;EHA;X;;
Perindopril;PERINDOPRIL 8MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 8 mg;7,14;DOC GENERICI Srl;037770346;EHB;X;;
Perindopril;PERINDOPRIL 8MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 8 mg;7,14;EG SpA;039202167;EHB;X;;
Perindopril;PERINDOPRIL 8MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 8 mg;7,14;SANDOZ SpA;040305068;EHB;X;;
Perindopril;PERINDOPRIL 8MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 8 mg;7,14;MYLAN SpA;040547073;EHB;X;;
Perindopril;PERINDOPRIL 8MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr 8 mg;7,14;PENSA PHARMA SpA;040971020;EHB;X;;
Perindopril;PERINDOPRIL 8MG 30 UNITA' USO ORALE;PERINDOPRIL*30 cpr riv 10 mg flacone;7,14;TEVA ITALIA Srl;041788112;EHB;X;;
Perindopril;PERINDOPRIL 8MG 30 UNITA' USO ORALE;PRENESSA*30 cpr 8 mg;7,14;KRKA FARMACEUTICI MILANO Srl;039788221;EHB;X;;
Perindopril;PERINDOPRIL 8MG 30 UNITA' USO ORALE;COVERSYL*30 cpr riv 10 mg;20,69;SERVIER ITALIA SpA;027286323;EHB;X;;
Perindopril;PERINDOPRIL 8MG 30 UNITA' USO ORALE;PROCAPTAN*30 cpr riv 10 mg;20,69;STRODER Srl;027469319;EHB;X;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 10+10MG 30 UNITA' USO ORALE;DALNEVA*30 cpr 8 mg + 10 mg;13,21;KRKA FARMACEUTICI MILANO Srl;040094346;QBA;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 10+10MG 30 UNITA' USO ORALE;COVERLAM*30 cpr 10 mg + 10 mg;17,38;SERVIER ITALIA SpA;038477497;QBA;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 10+10MG 30 UNITA' USO ORALE;REAPTAN*30 cpr 10 mg + 10 mg;17,38;STRODER Srl;038483487;QBA;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 10+5MG 30 UNITA' USO ORALE;DALNEVA*30 cpr 8 mg + 5 mg;11,67;KRKA FARMACEUTICI MILANO Srl;040094272;QBB;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 10+5MG 30 UNITA' USO ORALE;COVERLAM*30 cpr 10 mg + 5 mg;15,35;SERVIER ITALIA SpA;038477358;QBB;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 10+5MG 30 UNITA' USO ORALE;REAPTAN*30 cpr 10 mg + 5 mg;15,35;STRODER Srl;038483347;QBB;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 5+10MG 30 UNITA' USO ORALE;DALNEVA*30 cpr 4 mg + 10 mg;11,17;KRKA FARMACEUTICI MILANO Srl;040094144;QBC;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 5+10MG 30 UNITA' USO ORALE;COVERLAM*30 cpr 5 mg + 10 mg;14,70;SERVIER ITALIA SpA;038477218;QBC;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 5+10MG 30 UNITA' USO ORALE;REAPTAN*30 cpr 5 mg + 10 mg;14,70;STRODER Srl;038483208;QBC;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 5+5MG 30 UNITA' USO ORALE;DALNEVA*30 cpr 4 mg + 5 mg;11,17;KRKA FARMACEUTICI MILANO Srl;040094070;QBD;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 5+5MG 30 UNITA' USO ORALE;COVERLAM*30 cpr 5 mg + 5 mg;14,70;SERVIER ITALIA SpA;038477079;QBD;;;
Perindopril/amlodipina;PERINDOPRIL+AMLODIPINA 5+5MG 30 UNITA' USO ORALE;REAPTAN*30 cpr 5 mg + 5 mg;14,70;STRODER Srl;038483071;QBD;;;
